movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
471,The Amazing Spider-Man,PG-13,215000000,752215857,2012-06-27,Action,136,6.9,534526,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
472,The Avengers,PG-13,220000000,1519557910,2012-04-25,Action,143,8,1205002,Earths mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
473,Men in Black 3,PG-13,225000000,624026776,2012-05-23,Action,106,6.8,317807,Agent J travels in time to M.I.B.s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.
474,The Dark Knight Rises,PG-13,250000000,1084939099,2012-07-16,Action,165,8.4,1418253,"Eight years after the Jokers reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
475,The Hobbit: An Unexpected Journey,PG-13,250000000,1021103568,2012-11-26,Fantasy,169,7.8,727724,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
476,The Conjuring,R,13000000,318000141,2013-07-18,Horror,112,7.5,410378,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
477,Identity Thief,R,35000000,173965010,2013-02-07,Comedy,111,5.7,117864,Mild mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless looking woman who has been living it up after stealing Sandys identity.
478,We're The Millers,R,37000000,270000000,2013-08-03,Comedy,110,7.7,685903,
479,American Hustle,R,40000000,251171807,2013-12-12,Crime,138,7.2,424472,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
480,The Heat,R,43000000,158674180,2013-06-27,Comedy,117,6.6,155514,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.
481,Despicable Me 2,PG,76000000,970761885,2013-06-25,Animation,98,7.4,350582,"When Gru, the worlds most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Grus own, He has to fight back with new gadgetry, cars, and more minion madness."
482,The Great Gatsby,PG-13,105000000,351040419,2013-05-10,Drama,143,7.3,442728,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
483,Gravity,PG-13,105000000,716392705,2013-09-27,Science Fiction,91,7.7,724258,Two astronauts work together to survive after an accident leaves them stranded in space.
484,The Hunger Games: Catching Fire,PG-13,130000000,847423452,2013-11-15,Adventure,146,7.5,583523,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
485,The Croods,PG,135000000,585178928,2013-03-20,Animation,98,7.2,180043,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy."
486,Frozen,PG,150000000,1274219009,2013-11-27,Animation,102,7.5,527284,"When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
487,Fast & Furious 6,PG-13,160000000,788679850,2013-05-06,Action,130,,,
488,Thor: The Dark World,PG-13,170000000,644571402,2013-10-29,Action,112,6.9,556094,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster."
489,Star Trek Into Darkness,PG-13,190000000,467365246,2013-05-05,Science Fiction,132,7.7,449458,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
490,Oz: The Great and Powerful,PG,200000000,491868548,2013-03-07,Drama,130,,,
491,Iron Man 3,PG-13,200000000,1215439994,2013-04-18,Action,130,7.2,710052,"When Tony Starks world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
492,World War Z,PG-13,200000000,531865000,2013-06-20,Science Fiction,116,7,564082,"Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
493,Monsters University,G,200000000,743559607,2013-06-20,Animation,104,7.3,299133,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they werent necessarily the best of friends.
494,Man of Steel,PG-13,225000000,662845518,2013-06-12,Action,143,7.1,657937,"Clark Kent is an alien who as a child was evacuated from his dying world and came to Earth, living as a normal human. But when survivors of his alien home invade Earth, he must reveal himself to the world."
495,The Hobbit: The Desolation of Smaug,PG-13,250000000,958400000,2013-12-11,Fantasy,161,7.8,573246,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
496,Neighbors,R,18000000,268157400,2014-05-08,Comedy,96,6.3,270504,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down."
497,22 Jump Street,R,50000000,188441614,2014-06-05,Comedy,112,7,325958,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
498,American Sniper,R,58800000,542307423,2014-12-11,War,133,7.3,409597,"Navy S.E.A.L. sniper Chris Kyles (Bradley Coopers) pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he cant leave behind."
499,The Lego Movie,PG,60000000,469160692,2014-02-06,Animation,100,7.8,309295,"An ordinary LEGO construction worker, thought to be the prophesied as special, is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
500,Gone Girl,R,61000000,369330363,2014-10-01,Thriller,145,8.1,782252,"With his wifes disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when its suspected that he may not be innocent."
501,Divergent,PG-13,85000000,288747895,2014-03-14,Action,139,6.7,405233,"In a world divided by factions based on virtues, Tris learns shes Divergent and wont fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before its too late."
502,Teenage Mutant Ninja Turtles,PG-13,125000000,477200000,2014-08-07,Action,101,5.8,194073,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."
503,The Hunger Games: Mockingjay - Part 1,PG-13,125000000,752100229,2014-11-18,Adventure,123,6.6,386742,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage."
504,How to Train Your Dragon 2,PG,145000000,609123048,2014-06-12,Animation,102,7.8,285394,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
505,Godzilla,PG-13,160000000,529076069,2014-05-14,Thriller,123,6.4,359438,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."
506,Big Hero 6,PG,165000000,652105443,2014-10-24,Animation,102,7.8,380953,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
507,Interstellar,PG-13,165000000,675120017,2014-11-05,Science Fiction,169,8.6,1343549,A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival.
508,Captain America: The Winter Soldier,PG-13,170000000,714766572,2014-03-20,Action,136,7.7,685903,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
509,Dawn of the Planet of the Apes,PG-13,170000000,710644566,2014-06-26,Science Fiction,130,7.6,395425,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.
510,Guardians of the Galaxy,PG-13,170000000,773328629,2014-07-30,Action,121,8,978222,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
511,Maleficent,PG,180000000,758539785,2014-05-28,Fantasy,97,,,
512,The Amazing Spider-Man 2,PG-13,200000000,705717432,2014-04-16,Action,142,,,
